id,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow ID,Src IP,Src Port,Dst IP
AL-0001,0,0,14/02/2018 01:40:47,112640081,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266335036,56320040.5,94.0452018978,56320107,56319974,112640081,56320040.5,94.0452018978,56320107,56319974,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266335036,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320040.5,94.0452018978,56320107,56319974,,,,
AL-0002,0,0,14/02/2018 11:36:52,112640733,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333494,56320366.5,51.6187950266,56320403,56320330,112640733,56320366.5,51.6187950266,56320403,56320330,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333494,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320366.5,51.6187950266,56320403,56320330,,,,
AL-0003,0,0,14/02/2018 12:16:18,112640501,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266334043,56320250.5,68.5893577751,56320299,56320202,112640501,56320250.5,68.5893577751,56320299,56320202,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266334043,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320250.5,68.5893577751,56320299,56320202,,,,
AL-0004,35792,6,14/02/2018 02:11:34,42450,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,70.6713780919,21225.0,29503.3233382275,42087,363,0,0.0,0.0,0,0,42087,42087.0,0.0,42087,42087,0,0,0,0,32,76,23.5571260306,47.1142520612,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0005,0,0,14/02/2018 08:56:21,112641155,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332496,56320577.5,283.5498192558,56320778,56320377,112641155,56320577.5,283.5498192558,56320778,56320377,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332496,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320577.5,283.5498192558,56320778,56320377,,,,
AL-0006,46664,6,14/02/2018 02:16:47,5595,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,536.1930294906,2797.5,3461.2876939082,5245,350,0,0.0,0.0,0,0,5245,5245.0,0.0,5245,5245,0,0,0,0,32,76,178.7310098302,357.4620196604,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0007,67,17,14/02/2018 11:56:33,712,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,883426.966292135,2808.9887640449,712.0,0.0,712,712,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1404.4943820225,1404.4943820225,300,329,309.6666666667,16.7431578065,280.3333333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0008,67,17,14/02/2018 11:03:07,685,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,918248.175182482,2919.7080291971,685.0,0.0,685,685,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1459.8540145985,1459.8540145985,300,329,309.6666666667,16.7431578065,280.3333333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0009,0,0,14/02/2018 10:46:11,112634798,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266347528,56317399.0,233.3452377916,56317564,56317234,112634798,56317399.0,233.3452377916,56317564,56317234,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266347528,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56317399.0,233.3452377916,56317564,56317234,,,,
AL-0010,0,0,14/02/2018 10:23:39,112641238,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.02663323,56320619.0,80.6101730553,56320676,56320562,112641238,56320619.0,80.6101730553,56320676,56320562,0,0.0,0.0,0,0,0,0,0,0,0,0,0.02663323,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320619.0,80.6101730553,56320676,56320562,,,,
