id,timestamp,sourceIp,destinationIp,destinationPort,protocol,flowDuration,totalFwdPackets,totalBwdPackets,flowBytesPerSecond,flowPacketsPerSecond,packetLengthMean,fwdPacketLengthMean,synFlagCount,ackFlagCount,finFlagCount,rstFlagCount
AL-0001,14/02/2018 01:40:47,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0002,14/02/2018 11:36:52,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0003,14/02/2018 12:16:18,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0004,14/02/2018 02:11:34,unknown-source,unknown-destination,35792,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0005,14/02/2018 08:56:21,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0006,14/02/2018 02:16:47,unknown-source,unknown-destination,46664,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0007,14/02/2018 11:56:33,unknown-source,unknown-destination,67,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0008,14/02/2018 11:03:07,unknown-source,unknown-destination,67,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0009,14/02/2018 10:46:11,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0010,14/02/2018 10:23:39,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0011,14/02/2018 10:12:23,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0012,14/02/2018 09:49:52,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0013,14/02/2018 02:15:06,unknown-source,unknown-destination,43154,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0014,14/02/2018 02:11:34,unknown-source,unknown-destination,35794,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0015,14/02/2018 02:08:56,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0016,14/02/2018 08:47:26,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0017,14/02/2018 08:47:15,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0018,14/02/2018 11:34:03,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0019,14/02/2018 11:39:41,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0020,14/02/2018 08:47:22,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0021,14/02/2018 08:59:10,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0022,14/02/2018 02:11:10,unknown-source,unknown-destination,34962,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0023,14/02/2018 02:17:04,unknown-source,unknown-destination,47248,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0024,14/02/2018 02:06:09,unknown-source,unknown-destination,52764,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0025,14/02/2018 02:09:05,unknown-source,unknown-destination,58856,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0026,14/02/2018 12:55:43,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
